DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE31,2023,413959,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE32,2014,1334423,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE32,2015,1337780,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE32,2016,1341267,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE32,2017,1342053,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE32,2018,1343756,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE32,2019,1346082,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE32,2020,1350295,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE32,2021,1349861,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE32,2022,1354667,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE32,2023,1361026,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE33,2014,1095661,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE33,2015,1098903,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE33,2016,1103490,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE33,2017,1106039,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE33,2018,1108371,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE33,2019,1110068,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE33,2020,1113943,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE33,2021,1113324,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE33,2022,1116087,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE33,2023,1122360,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE34,2014,278219,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,BE34,2015,280261,,
